,,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,
StartCol,0,3,6,0,0,6,0,4,0,4,0,5,3,0,0,4,5,0,0,0,5,0,1,0,0,4,0
length,2,2,1,7,6,1,3,4,4,4,2,3,3,5,4,4,3,5,5,4,3,6,6,6,4,4,8
English translation,it,is,a,quarter,twenty,-,ten,five,half,past,to,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,o'clock,ante,post,meridiem
0:00:00,it,is,,,,,,,,,,,,,,,,,,,,,twelve,o'clock,ante,,meridiem
0:05:00,it,is,,,,,,five,,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:30:00,it,is,,,,,,,half,past,,,,,,,,,,,,,twelve,,ante,,meridiem
0:35:00,it,is,,,twenty,-,,five,,,to,one,,,,,,,,,,,,,ante,,meridiem
0:40:00,it,is,,,twenty,,,,,,to,one,,,,,,,,,,,,,ante,,meridiem
0:45:00,it,is,a,quarter,,,,,,,to,one,,,,,,,,,,,,,ante,,meridiem
0:50:00,it,is,,,,,ten,,,,to,one,,,,,,,,,,,,,ante,,meridiem
0:55:00,it,is,,,,,,five,,,to,one,,,,,,,,,,,,,ante,,meridiem
1:00:00,it,is,,,,,,,,,,one,,,,,,,,,,,,o'clock,ante,,meridiem
1:05:00,it,is,,,,,,five,,past,,one,,,,,,,,,,,,,ante,,meridiem
1:10:00,it,is,,,,,ten,,,past,,one,,,,,,,,,,,,,ante,,meridiem
1:15:00,it,is,a,quarter,,,,,,past,,one,,,,,,,,,,,,,ante,,meridiem
1:20:00,it,is,,,twenty,,,,,past,,one,,,,,,,,,,,,,ante,,meridiem
1:25:00,it,is,,,twenty,-,,five,,past,,one,,,,,,,,,,,,,ante,,meridiem
1:30:00,it,is,,,,,,,half,past,,one,,,,,,,,,,,,,ante,,meridiem
1:35:00,it,is,,,twenty,-,,five,,,to,,two,,,,,,,,,,,,ante,,meridiem
1:40:00,it,is,,,twenty,,,,,,to,,two,,,,,,,,,,,,ante,,meridiem
1:45:00,it,is,a,quarter,,,,,,,to,,two,,,,,,,,,,,,ante,,meridiem
1:50:00,it,is,,,,,ten,,,,to,,two,,,,,,,,,,,,ante,,meridiem
1:55:00,it,is,,,,,,five,,,to,,two,,,,,,,,,,,,ante,,meridiem
2:00:00,it,is,,,,,,,,,,,two,,,,,,,,,,,o'clock,ante,,meridiem
2:05:00,it,is,,,,,,five,,past,,,two,,,,,,,,,,,,ante,,meridiem
2:10:00,it,is,,,,,ten,,,past,,,two,,,,,,,,,,,,ante,,meridiem
2:15:00,it,is,a,quarter,,,,,,past,,,two,,,,,,,,,,,,ante,,meridiem
2:20:00,it,is,,,twenty,,,,,past,,,two,,,,,,,,,,,,ante,,meridiem
2:25:00,it,is,,,twenty,-,,five,,past,,,two,,,,,,,,,,,,ante,,meridiem
2:30:00,it,is,,,,,,,half,past,,,two,,,,,,,,,,,,ante,,meridiem
2:35:00,it,is,,,twenty,-,,five,,,to,,,three,,,,,,,,,,,ante,,meridiem
2:40:00,it,is,,,twenty,,,,,,to,,,three,,,,,,,,,,,ante,,meridiem
2:45:00,it,is,a,quarter,,,,,,,to,,,three,,,,,,,,,,,ante,,meridiem
2:50:00,it,is,,,,,ten,,,,to,,,three,,,,,,,,,,,ante,,meridiem
2:55:00,it,is,,,,,,five,,,to,,,three,,,,,,,,,,,ante,,meridiem
3:00:00,it,is,,,,,,,,,,,,three,,,,,,,,,,o'clock,ante,,meridiem
3:05:00,it,is,,,,,,five,,past,,,,three,,,,,,,,,,,ante,,meridiem
3:10:00,it,is,,,,,ten,,,past,,,,three,,,,,,,,,,,ante,,meridiem
3:15:00,it,is,a,quarter,,,,,,past,,,,three,,,,,,,,,,,ante,,meridiem
3:20:00,it,is,,,twenty,,,,,past,,,,three,,,,,,,,,,,ante,,meridiem
3:25:00,it,is,,,twenty,-,,five,,past,,,,three,,,,,,,,,,,ante,,meridiem
3:30:00,it,is,,,,,,,half,past,,,,three,,,,,,,,,,,ante,,meridiem
3:35:00,it,is,,,twenty,-,,five,,,to,,,,four,,,,,,,,,,ante,,meridiem
3:40:00,it,is,,,twenty,,,,,,to,,,,four,,,,,,,,,,ante,,meridiem
3:45:00,it,is,a,quarter,,,,,,,to,,,,four,,,,,,,,,,ante,,meridiem
3:50:00,it,is,,,,,ten,,,,to,,,,four,,,,,,,,,,ante,,meridiem
3:55:00,it,is,,,,,,five,,,to,,,,four,,,,,,,,,,ante,,meridiem
4:00:00,it,is,,,,,,,,,,,,,four,,,,,,,,,o'clock,ante,,meridiem
4:05:00,it,is,,,,,,five,,past,,,,,four,,,,,,,,,,ante,,meridiem
4:10:00,it,is,,,,,ten,,,past,,,,,four,,,,,,,,,,ante,,meridiem
4:15:00,it,is,a,quarter,,,,,,past,,,,,four,,,,,,,,,,ante,,meridiem
4:20:00,it,is,,,twenty,,,,,past,,,,,four,,,,,,,,,,ante,,meridiem
4:25:00,it,is,,,twenty,-,,five,,past,,,,,four,,,,,,,,,,ante,,meridiem
4:30:00,it,is,,,,,,,half,past,,,,,four,,,,,,,,,,ante,,meridiem
4:35:00,it,is,,,twenty,-,,five,,,to,,,,,five,,,,,,,,,ante,,meridiem
4:40:00,it,is,,,twenty,,,,,,to,,,,,five,,,,,,,,,ante,,meridiem
4:45:00,it,is,a,quarter,,,,,,,to,,,,,five,,,,,,,,,ante,,meridiem
4:50:00,it,is,,,,,ten,,,,to,,,,,five,,,,,,,,,ante,,meridiem
4:55:00,it,is,,,,,,five,,,to,,,,,five,,,,,,,,,ante,,meridiem
5:00:00,it,is,,,,,,,,,,,,,,five,,,,,,,,o'clock,ante,,meridiem
5:05:00,it,is,,,,,,five,,past,,,,,,five,,,,,,,,,ante,,meridiem
5:10:00,it,is,,,,,ten,,,past,,,,,,five,,,,,,,,,ante,,meridiem
5:15:00,it,is,a,quarter,,,,,,past,,,,,,five,,,,,,,,,ante,,meridiem
5:20:00,it,is,,,twenty,,,,,past,,,,,,five,,,,,,,,,ante,,meridiem
5:25:00,it,is,,,twenty,-,,five,,past,,,,,,five,,,,,,,,,ante,,meridiem
5:30:00,it,is,,,,,,,half,past,,,,,,five,,,,,,,,,ante,,meridiem
5:35:00,it,is,,,twenty,-,,five,,,to,,,,,,six,,,,,,,,ante,,meridiem
5:40:00,it,is,,,twenty,,,,,,to,,,,,,six,,,,,,,,ante,,meridiem
5:45:00,it,is,a,quarter,,,,,,,to,,,,,,six,,,,,,,,ante,,meridiem
5:50:00,it,is,,,,,ten,,,,to,,,,,,six,,,,,,,,ante,,meridiem
5:55:00,it,is,,,,,,five,,,to,,,,,,six,,,,,,,,ante,,meridiem
6:00:00,it,is,,,,,,,,,,,,,,,six,,,,,,,o'clock,ante,,meridiem
6:05:00,it,is,,,,,,five,,past,,,,,,,six,,,,,,,,ante,,meridiem
6:10:00,it,is,,,,,ten,,,past,,,,,,,six,,,,,,,,ante,,meridiem
6:15:00,it,is,a,quarter,,,,,,past,,,,,,,six,,,,,,,,ante,,meridiem
6:20:00,it,is,,,twenty,,,,,past,,,,,,,six,,,,,,,,ante,,meridiem
6:25:00,it,is,,,twenty,-,,five,,past,,,,,,,six,,,,,,,,ante,,meridiem
6:30:00,it,is,,,,,,,half,past,,,,,,,six,,,,,,,,ante,,meridiem
6:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,seven,,,,,,,ante,,meridiem
6:40:00,it,is,,,twenty,,,,,,to,,,,,,,seven,,,,,,,ante,,meridiem
6:45:00,it,is,a,quarter,,,,,,,to,,,,,,,seven,,,,,,,ante,,meridiem
6:50:00,it,is,,,,,ten,,,,to,,,,,,,seven,,,,,,,ante,,meridiem
6:55:00,it,is,,,,,,five,,,to,,,,,,,seven,,,,,,,ante,,meridiem
7:00:00,it,is,,,,,,,,,,,,,,,,seven,,,,,,o'clock,ante,,meridiem
7:05:00,it,is,,,,,,five,,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:10:00,it,is,,,,,ten,,,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:15:00,it,is,a,quarter,,,,,,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:20:00,it,is,,,twenty,,,,,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:30:00,it,is,,,,,,,half,past,,,,,,,,seven,,,,,,,ante,,meridiem
7:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,eight,,,,,,ante,,meridiem
7:40:00,it,is,,,twenty,,,,,,to,,,,,,,,eight,,,,,,ante,,meridiem
7:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,eight,,,,,,ante,,meridiem
7:50:00,it,is,,,,,ten,,,,to,,,,,,,,eight,,,,,,ante,,meridiem
7:55:00,it,is,,,,,,five,,,to,,,,,,,,eight,,,,,,ante,,meridiem
8:00:00,it,is,,,,,,,,,,,,,,,,,eight,,,,,o'clock,ante,,meridiem
8:05:00,it,is,,,,,,five,,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:10:00,it,is,,,,,ten,,,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:20:00,it,is,,,twenty,,,,,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:30:00,it,is,,,,,,,half,past,,,,,,,,,eight,,,,,,ante,,meridiem
8:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,nine,,,,,ante,,meridiem
8:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,nine,,,,,ante,,meridiem
8:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,nine,,,,,ante,,meridiem
8:50:00,it,is,,,,,ten,,,,to,,,,,,,,,nine,,,,,ante,,meridiem
8:55:00,it,is,,,,,,five,,,to,,,,,,,,,nine,,,,,ante,,meridiem
9:00:00,it,is,,,,,,,,,,,,,,,,,,nine,,,,o'clock,ante,,meridiem
9:05:00,it,is,,,,,,five,,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:10:00,it,is,,,,,ten,,,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:30:00,it,is,,,,,,,half,past,,,,,,,,,,nine,,,,,ante,,meridiem
9:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,ten,,,,ante,,meridiem
9:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,ten,,,,ante,,meridiem
9:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,ten,,,,ante,,meridiem
9:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,ten,,,,ante,,meridiem
9:55:00,it,is,,,,,,five,,,to,,,,,,,,,,ten,,,,ante,,meridiem
10:00:00,it,is,,,,,,,,,,,,,,,,,,,ten,,,o'clock,ante,,meridiem
10:05:00,it,is,,,,,,five,,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:30:00,it,is,,,,,,,half,past,,,,,,,,,,,ten,,,,ante,,meridiem
10:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,,eleven,,,ante,,meridiem
10:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,,eleven,,,ante,,meridiem
10:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,,eleven,,,ante,,meridiem
10:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,,eleven,,,ante,,meridiem
10:55:00,it,is,,,,,,five,,,to,,,,,,,,,,,eleven,,,ante,,meridiem
11:00:00,it,is,,,,,,,,,,,,,,,,,,,,eleven,,o'clock,ante,,meridiem
11:05:00,it,is,,,,,,five,,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:30:00,it,is,,,,,,,half,past,,,,,,,,,,,,eleven,,,ante,,meridiem
11:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,,,twelve,,ante,,meridiem
11:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,,,twelve,,ante,,meridiem
11:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,,,twelve,,ante,,meridiem
11:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,,,twelve,,ante,,meridiem
11:55:00,it,is,,,,,,five,,,to,,,,,,,,,,,,twelve,,ante,,meridiem
12:00:00,it,is,,,,,,,,,,,,,,,,,,,,,twelve,o'clock,,post,meridiem
12:05:00,it,is,,,,,,five,,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:30:00,it,is,,,,,,,half,past,,,,,,,,,,,,,twelve,,,post,meridiem
12:35:00,it,is,,,twenty,-,,five,,,to,one,,,,,,,,,,,,,,post,meridiem
12:40:00,it,is,,,twenty,,,,,,to,one,,,,,,,,,,,,,,post,meridiem
12:45:00,it,is,a,quarter,,,,,,,to,one,,,,,,,,,,,,,,post,meridiem
12:50:00,it,is,,,,,ten,,,,to,one,,,,,,,,,,,,,,post,meridiem
12:55:00,it,is,,,,,,five,,,to,one,,,,,,,,,,,,,,post,meridiem
13:00:00,it,is,,,,,,,,,,one,,,,,,,,,,,,o'clock,,post,meridiem
13:05:00,it,is,,,,,,five,,past,,one,,,,,,,,,,,,,,post,meridiem
13:10:00,it,is,,,,,ten,,,past,,one,,,,,,,,,,,,,,post,meridiem
13:15:00,it,is,a,quarter,,,,,,past,,one,,,,,,,,,,,,,,post,meridiem
13:20:00,it,is,,,twenty,,,,,past,,one,,,,,,,,,,,,,,post,meridiem
13:25:00,it,is,,,twenty,-,,five,,past,,one,,,,,,,,,,,,,,post,meridiem
13:30:00,it,is,,,,,,,half,past,,one,,,,,,,,,,,,,,post,meridiem
13:35:00,it,is,,,twenty,-,,five,,,to,,two,,,,,,,,,,,,,post,meridiem
13:40:00,it,is,,,twenty,,,,,,to,,two,,,,,,,,,,,,,post,meridiem
13:45:00,it,is,a,quarter,,,,,,,to,,two,,,,,,,,,,,,,post,meridiem
13:50:00,it,is,,,,,ten,,,,to,,two,,,,,,,,,,,,,post,meridiem
13:55:00,it,is,,,,,,five,,,to,,two,,,,,,,,,,,,,post,meridiem
14:00:00,it,is,,,,,,,,,,,two,,,,,,,,,,,o'clock,,post,meridiem
14:05:00,it,is,,,,,,five,,past,,,two,,,,,,,,,,,,,post,meridiem
14:10:00,it,is,,,,,ten,,,past,,,two,,,,,,,,,,,,,post,meridiem
14:15:00,it,is,a,quarter,,,,,,past,,,two,,,,,,,,,,,,,post,meridiem
14:20:00,it,is,,,twenty,,,,,past,,,two,,,,,,,,,,,,,post,meridiem
14:25:00,it,is,,,twenty,-,,five,,past,,,two,,,,,,,,,,,,,post,meridiem
14:30:00,it,is,,,,,,,half,past,,,two,,,,,,,,,,,,,post,meridiem
14:35:00,it,is,,,twenty,-,,five,,,to,,,three,,,,,,,,,,,,post,meridiem
14:40:00,it,is,,,twenty,,,,,,to,,,three,,,,,,,,,,,,post,meridiem
14:45:00,it,is,a,quarter,,,,,,,to,,,three,,,,,,,,,,,,post,meridiem
14:50:00,it,is,,,,,ten,,,,to,,,three,,,,,,,,,,,,post,meridiem
14:55:00,it,is,,,,,,five,,,to,,,three,,,,,,,,,,,,post,meridiem
15:00:00,it,is,,,,,,,,,,,,three,,,,,,,,,,o'clock,,post,meridiem
15:05:00,it,is,,,,,,five,,past,,,,three,,,,,,,,,,,,post,meridiem
15:10:00,it,is,,,,,ten,,,past,,,,three,,,,,,,,,,,,post,meridiem
15:15:00,it,is,a,quarter,,,,,,past,,,,three,,,,,,,,,,,,post,meridiem
15:20:00,it,is,,,twenty,,,,,past,,,,three,,,,,,,,,,,,post,meridiem
15:25:00,it,is,,,twenty,-,,five,,past,,,,three,,,,,,,,,,,,post,meridiem
15:30:00,it,is,,,,,,,half,past,,,,three,,,,,,,,,,,,post,meridiem
15:35:00,it,is,,,twenty,-,,five,,,to,,,,four,,,,,,,,,,,post,meridiem
15:40:00,it,is,,,twenty,,,,,,to,,,,four,,,,,,,,,,,post,meridiem
15:45:00,it,is,a,quarter,,,,,,,to,,,,four,,,,,,,,,,,post,meridiem
15:50:00,it,is,,,,,ten,,,,to,,,,four,,,,,,,,,,,post,meridiem
15:55:00,it,is,,,,,,five,,,to,,,,four,,,,,,,,,,,post,meridiem
16:00:00,it,is,,,,,,,,,,,,,four,,,,,,,,,o'clock,,post,meridiem
16:05:00,it,is,,,,,,five,,past,,,,,four,,,,,,,,,,,post,meridiem
16:10:00,it,is,,,,,ten,,,past,,,,,four,,,,,,,,,,,post,meridiem
16:15:00,it,is,a,quarter,,,,,,past,,,,,four,,,,,,,,,,,post,meridiem
16:20:00,it,is,,,twenty,,,,,past,,,,,four,,,,,,,,,,,post,meridiem
16:25:00,it,is,,,twenty,-,,five,,past,,,,,four,,,,,,,,,,,post,meridiem
16:30:00,it,is,,,,,,,half,past,,,,,four,,,,,,,,,,,post,meridiem
16:35:00,it,is,,,twenty,-,,five,,,to,,,,,five,,,,,,,,,,post,meridiem
16:40:00,it,is,,,twenty,,,,,,to,,,,,five,,,,,,,,,,post,meridiem
16:45:00,it,is,a,quarter,,,,,,,to,,,,,five,,,,,,,,,,post,meridiem
16:50:00,it,is,,,,,ten,,,,to,,,,,five,,,,,,,,,,post,meridiem
16:55:00,it,is,,,,,,five,,,to,,,,,five,,,,,,,,,,post,meridiem
17:00:00,it,is,,,,,,,,,,,,,,five,,,,,,,,o'clock,,post,meridiem
17:05:00,it,is,,,,,,five,,past,,,,,,five,,,,,,,,,,post,meridiem
17:10:00,it,is,,,,,ten,,,past,,,,,,five,,,,,,,,,,post,meridiem
17:15:00,it,is,a,quarter,,,,,,past,,,,,,five,,,,,,,,,,post,meridiem
17:20:00,it,is,,,twenty,,,,,past,,,,,,five,,,,,,,,,,post,meridiem
17:25:00,it,is,,,twenty,-,,five,,past,,,,,,five,,,,,,,,,,post,meridiem
17:30:00,it,is,,,,,,,half,past,,,,,,five,,,,,,,,,,post,meridiem
17:35:00,it,is,,,twenty,-,,five,,,to,,,,,,six,,,,,,,,,post,meridiem
17:40:00,it,is,,,twenty,,,,,,to,,,,,,six,,,,,,,,,post,meridiem
17:45:00,it,is,a,quarter,,,,,,,to,,,,,,six,,,,,,,,,post,meridiem
17:50:00,it,is,,,,,ten,,,,to,,,,,,six,,,,,,,,,post,meridiem
17:55:00,it,is,,,,,,five,,,to,,,,,,six,,,,,,,,,post,meridiem
18:00:00,it,is,,,,,,,,,,,,,,,six,,,,,,,o'clock,,post,meridiem
18:05:00,it,is,,,,,,five,,past,,,,,,,six,,,,,,,,,post,meridiem
18:10:00,it,is,,,,,ten,,,past,,,,,,,six,,,,,,,,,post,meridiem
18:15:00,it,is,a,quarter,,,,,,past,,,,,,,six,,,,,,,,,post,meridiem
18:20:00,it,is,,,twenty,,,,,past,,,,,,,six,,,,,,,,,post,meridiem
18:25:00,it,is,,,twenty,-,,five,,past,,,,,,,six,,,,,,,,,post,meridiem
18:30:00,it,is,,,,,,,half,past,,,,,,,six,,,,,,,,,post,meridiem
18:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,seven,,,,,,,,post,meridiem
18:40:00,it,is,,,twenty,,,,,,to,,,,,,,seven,,,,,,,,post,meridiem
18:45:00,it,is,a,quarter,,,,,,,to,,,,,,,seven,,,,,,,,post,meridiem
18:50:00,it,is,,,,,ten,,,,to,,,,,,,seven,,,,,,,,post,meridiem
18:55:00,it,is,,,,,,five,,,to,,,,,,,seven,,,,,,,,post,meridiem
19:00:00,it,is,,,,,,,,,,,,,,,,seven,,,,,,o'clock,,post,meridiem
19:05:00,it,is,,,,,,five,,past,,,,,,,,seven,,,,,,,,post,meridiem
19:10:00,it,is,,,,,ten,,,past,,,,,,,,seven,,,,,,,,post,meridiem
19:15:00,it,is,a,quarter,,,,,,past,,,,,,,,seven,,,,,,,,post,meridiem
19:20:00,it,is,,,twenty,,,,,past,,,,,,,,seven,,,,,,,,post,meridiem
19:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,seven,,,,,,,,post,meridiem
19:30:00,it,is,,,,,,,half,past,,,,,,,,seven,,,,,,,,post,meridiem
19:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,eight,,,,,,,post,meridiem
19:40:00,it,is,,,twenty,,,,,,to,,,,,,,,eight,,,,,,,post,meridiem
19:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,eight,,,,,,,post,meridiem
19:50:00,it,is,,,,,ten,,,,to,,,,,,,,eight,,,,,,,post,meridiem
19:55:00,it,is,,,,,,five,,,to,,,,,,,,eight,,,,,,,post,meridiem
20:00:00,it,is,,,,,,,,,,,,,,,,,eight,,,,,o'clock,,post,meridiem
20:05:00,it,is,,,,,,five,,past,,,,,,,,,eight,,,,,,,post,meridiem
20:10:00,it,is,,,,,ten,,,past,,,,,,,,,eight,,,,,,,post,meridiem
20:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,eight,,,,,,,post,meridiem
20:20:00,it,is,,,twenty,,,,,past,,,,,,,,,eight,,,,,,,post,meridiem
20:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,eight,,,,,,,post,meridiem
20:30:00,it,is,,,,,,,half,past,,,,,,,,,eight,,,,,,,post,meridiem
20:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,nine,,,,,,post,meridiem
20:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,nine,,,,,,post,meridiem
20:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,nine,,,,,,post,meridiem
20:50:00,it,is,,,,,ten,,,,to,,,,,,,,,nine,,,,,,post,meridiem
20:55:00,it,is,,,,,,five,,,to,,,,,,,,,nine,,,,,,post,meridiem
21:00:00,it,is,,,,,,,,,,,,,,,,,,nine,,,,o'clock,,post,meridiem
21:05:00,it,is,,,,,,five,,past,,,,,,,,,,nine,,,,,,post,meridiem
21:10:00,it,is,,,,,ten,,,past,,,,,,,,,,nine,,,,,,post,meridiem
21:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,nine,,,,,,post,meridiem
21:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,nine,,,,,,post,meridiem
21:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,nine,,,,,,post,meridiem
21:30:00,it,is,,,,,,,half,past,,,,,,,,,,nine,,,,,,post,meridiem
21:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,ten,,,,,post,meridiem
21:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,ten,,,,,post,meridiem
21:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,ten,,,,,post,meridiem
21:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,ten,,,,,post,meridiem
21:55:00,it,is,,,,,,five,,,to,,,,,,,,,,ten,,,,,post,meridiem
22:00:00,it,is,,,,,,,,,,,,,,,,,,,ten,,,o'clock,,post,meridiem
22:05:00,it,is,,,,,,five,,past,,,,,,,,,,,ten,,,,,post,meridiem
22:10:00,it,is,,,,,ten,,,past,,,,,,,,,,,ten,,,,,post,meridiem
22:15:00,it,is,a,quarter,,,,,,past,,,,,,,,,,,ten,,,,,post,meridiem
22:20:00,it,is,,,twenty,,,,,past,,,,,,,,,,,ten,,,,,post,meridiem
22:25:00,it,is,,,twenty,-,,five,,past,,,,,,,,,,,ten,,,,,post,meridiem
22:30:00,it,is,,,,,,,half,past,,,,,,,,,,,ten,,,,,post,meridiem
22:35:00,it,is,,,twenty,-,,five,,,to,,,,,,,,,,,eleven,,,,post,meridiem
22:40:00,it,is,,,twenty,,,,,,to,,,,,,,,,,,eleven,,,,post,meridiem
22:45:00,it,is,a,quarter,,,,,,,to,,,,,,,,,,,eleven,,,,post,meridiem
22:50:00,it,is,,,,,ten,,,,to,,,,,,,,,,,eleven,,,,post,meridiem
22:55:00,it,is,,,,,,five,,,to,,,,,,,,,,,eleven,,,,post,meridiem
23:00:00,it,is,,,,,,,,,,,,,,,,,,,,eleven,,o'clock,,post,meridiem
